TaskID,RecordDate,ScenarioCode,ScenarioName,DepartmentID,DepartmentName,CourseType,LabType,SessionType,TaskClass,BatchSize,ExamCriticalFlag,SkillCriticality,CPU_Demand,GPU_Demand,Memory_Demand,Bandwidth_Demand,ExpectedRuntime,ClassStartTime,ClassEndTime,ArrivalTime,Deadline,LatencyTolerance,ContinuitySensitivity,MigrationTolerance,EdgeQueueLength,NodeUtilization,NetworkRTT,PacketLossRate,LabOccupancy,NodeHealthScore,PredictedNextSlotLoad
VSDT-00011,2026-01-06,NORMAL,Normal teaching day,IMFG,Intelligent Manufacturing,CNC Virtual Workshop,CNC Simulation Lab,Sync,Content Synchronization,29,0,0.368,29.88,4.94,3.88,67.74,9.87,2026-01-06 08:30:00,2026-01-06 09:45:00,2026-01-06 09:13:57,2026-01-06 09:26:46,326.66,0.463,0.894,3,0.449,35.4,0.413,0.467,0.956,0.523
VSDT-00012,2026-01-06,EXAM,Exam-week priority load,IMFG,Intelligent Manufacturing,Industrial Process Monitoring,Smart Manufacturing Lab,Simulation,Interactive Simulation,29,1,1,58.72,46.83,9.39,113.38,22.59,2026-01-06 15:30:00,2026-01-06 17:15:00,2026-01-06 15:45:50,2026-01-06 16:20:15,71.65,0.764,0.173,6,0.371,27.05,0.655,0.809,0.869,0.824
VSDT-00013,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,ELEC,Electronics Training,Control Systems Simulation,Electronics Training Lab,Practice,Immersive Practical Session,29,0,0.827,56.62,43.55,30.32,137.86,28.47,2026-01-06 13:30:00,2026-01-06 15:00:00,2026-01-06 14:29:49,2026-01-06 15:00:00,55.25,0.911,0.238,15,0.749,34.71,0.77,0.753,0.778,0.86
VSDT-00014,2026-01-06,NORMAL,Normal teaching day,DMED,Digital Media,3D Rendering Lab,3D Rendering Lab,Analytics,Background Analytics,25,0,0.422,43.77,21.9,26.37,51.26,32.37,2026-01-06 08:30:00,2026-01-06 10:00:00,2026-01-06 08:36:52,2026-01-06 09:21:43,269.32,0.289,0.77,4,0.374,18.6,0.252,0.764,0.868,0.701
VSDT-00015,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,Hydrogen Storage Materials Simulation,Battery Materials Lab,Practice,Immersive Practical Session,43,0,1,59.31,95.3,11.65,137.22,18.21,2026-01-06 08:30:00,2026-01-06 10:15:00,2026-01-06 09:18:52,2026-01-06 09:38:30,118.79,0.854,0.211,10,0.661,27.68,0.965,0.433,0.692,0.907
VSDT-00016,2026-01-06,OVERLAP,Overlapping practical classes,AUTO,Automotive Technology,Sensor Calibration Lab,EV Training Lab,Simulation,Interactive Simulation,37,0,0.767,44.25,53.83,16.67,79.92,18.46,2026-01-06 13:30:00,2026-01-06 15:30:00,2026-01-06 14:09:29,2026-01-06 14:43:25,132.68,0.802,0.298,9,0.585,20.02,0.468,0.943,0.842,0.938
VSDT-00017,2026-01-06,EXAM,Exam-week priority load,AUTO,Automotive Technology,EV Maintenance Practical,Automotive Simulation Lab,Assessment,Automated Assessment,34,1,0.983,64.27,14.32,15.64,75.13,21.96,2026-01-06 10:30:00,2026-01-06 12:15:00,2026-01-06 11:12:07,2026-01-06 11:40:32,82.96,0.835,0.384,7,0.669,9.89,0.284,0.591,0.917,0.765
VSDT-00018,2026-01-06,OVERLAP,Overlapping practical classes,DMED,Digital Media,Immersive Design Assessment,XR Media Studio,Simulation,Interactive Simulation,30,0,0.722,69.5,37.25,11.03,63.66,22.78,2026-01-06 13:30:00,2026-01-06 14:45:00,2026-01-06 13:58:43,2026-01-06 14:38:14,125.07,0.893,0.239,12,0.796,10.65,0.359,0.588,0.981,0.708
VSDT-00019,2026-01-06,NET_DEG,Network degradation,NEM,New Energy Materials,Advanced Battery Management Systems and Material Characterization,NEM Digital Simulation Laboratory,Practice,Immersive Practical Session,35,0,1,89.46,90.42,17.28,110.39,29.12,2026-01-06 13:30:00,2026-01-06 15:15:00,2026-01-06 14:34:04,2026-01-06 15:10:58,102.07,0.957,0.117,6,0.518,61.94,5.213,0.475,0.952,0.456
VSDT-00020,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Quality Inspection Simulation,CNC Simulation Lab,Practice,Immersive Practical Session,21,0,0.897,70.68,73.73,23.24,66.76,43.96,2026-01-06 13:30:00,2026-01-06 15:00:00,2026-01-06 14:29:37,2026-01-06 15:00:00,74.41,0.871,0.181,19,0.98,28.4,0.774,0.73,0.717,0.898
VSDT-00021,2026-01-06,NORMAL,Normal teaching day,NURS,Nursing Simulation,Patient Care Simulation,Virtual Nursing Simulation Lab,Simulation,Interactive Simulation,26,0,0.844,65.7,69.81,16.76,99.35,26.0,2026-01-06 10:30:00,2026-01-06 12:15:00,2026-01-06 10:51:20,2026-01-06 11:23:41,101.82,0.811,0.324,3,0.366,17.07,0.803,0.71,0.835,0.308
VSDT-00022,2026-01-06,EXAM,Exam-week priority load,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Simulation,Interactive Simulation,18,1,0.884,50.85,26.34,8.39,110.91,13.21,2026-01-06 13:30:00,2026-01-06 14:45:00,2026-01-06 13:37:11,2026-01-06 14:00:52,133.78,0.912,0.282,2,0.483,27.45,0.278,0.825,0.851,0.582
VSDT-00023,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,NURS,Nursing Simulation,Medication Safety Training,Virtual Nursing Simulation Lab,Simulation,Interactive Simulation,33,0,0.948,37.63,37.41,18.74,53.64,8.91,2026-01-06 10:30:00,2026-01-06 12:00:00,2026-01-06 11:27:47,2026-01-06 11:40:49,159.27,0.892,0.265,19,0.849,22.17,0.261,0.487,0.659,0.503
VSDT-00024,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,DMED,Digital Media,Immersive Design Assessment,XR Media Studio,Assessment,Automated Assessment,20,1,1,50.03,52.08,10.92,88.92,15.02,2026-01-06 08:30:00,2026-01-06 09:45:00,2026-01-06 08:54:14,2026-01-06 09:24:44,74.86,0.902,0.214,16,0.736,41.83,0.575,0.556,0.711,0.728
VSDT-00025,2026-01-06,NET_DEG,Network degradation,NEM,New Energy Materials,Cathode Material Preparation Digital Twin,Microscopy and Materials Imaging Lab,Analytics,Background Analytics,36,0,0.438,74.55,12.51,12.08,58.05,53.35,2026-01-06 15:30:00,2026-01-06 17:00:00,2026-01-06 16:02:57,2026-01-06 17:00:00,251.04,0.349,0.908,7,0.573,86.36,3.607,0.382,0.844,0.658
VSDT-00026,2026-01-06,OVERLAP,Overlapping practical classes,IMFG,Intelligent Manufacturing,Production Line Digital Twin,Smart Manufacturing Lab,Simulation,Interactive Simulation,26,0,0.698,45.79,60.26,14.2,108.47,8.93,2026-01-06 15:30:00,2026-01-06 17:00:00,2026-01-06 16:32:51,2026-01-06 16:55:07,146.66,0.764,0.231,9,0.688,19.52,0.555,0.686,0.964,0.72
VSDT-00027,2026-01-06,NORMAL,Normal teaching day,NURS,Nursing Simulation,Medication Safety Training,Clinical Skills Lab,Simulation,Interactive Simulation,36,0,0.925,54.26,80.52,12.75,120.33,23.68,2026-01-06 15:30:00,2026-01-06 17:30:00,2026-01-06 16:18:42,2026-01-06 16:42:51,115.91,0.857,0.327,3,0.549,15.54,0.413,0.704,0.88,0.632
VSDT-00028,2026-01-06,OVERLAP,Overlapping practical classes,NURS,Nursing Simulation,Patient Care Simulation,Clinical Skills Lab,Simulation,Interactive Simulation,39,0,0.81,63.04,59.23,8.54,48.27,9.02,2026-01-06 13:30:00,2026-01-06 15:15:00,2026-01-06 14:05:48,2026-01-06 14:18:24,114.22,0.879,0.158,11,0.441,38.92,0.442,0.522,0.832,0.672
VSDT-00029,2026-01-06,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,AI-Based Microstructure Analysis of Perovskite Solar Cells,Photovoltaic Characterization Lab,Sync,Content Synchronization,29,0,0.602,18.04,10.27,3.56,175.39,14.86,2026-01-06 15:30:00,2026-01-06 16:45:00,2026-01-06 16:14:27,2026-01-06 16:39:07,183.66,0.488,0.616,17,0.906,24.97,0.152,0.675,0.733,0.822
VSDT-00030,2026-01-06,OVERLAP,Overlapping practical classes,IMFG,Intelligent Manufacturing,Production Line Digital Twin,Smart Manufacturing Lab,Assessment,Automated Assessment,41,0,0.89,58.29,54.2,10.19,87.51,6.73,2026-01-06 13:30:00,2026-01-06 14:45:00,2026-01-06 13:45:57,2026-01-06 13:56:47,130.84,0.659,0.44,16,0.612,31.36,0.916,0.529,0.859,0.703
VSDT-00031,2026-01-06,NET_DEG,Network degradation,DMED,Digital Media,Interactive Design Practical,3D Rendering Lab,Sync,Content Synchronization,19,0,0.569,16.6,11.85,2.8,199.96,11.39,2026-01-06 13:30:00,2026-01-06 14:45:00,2026-01-06 13:30:50,2026-01-06 13:55:01,275.08,0.503,0.683,1,0.401,115.46,2.69,0.433,0.754,0.501
VSDT-00032,2026-01-06,NORMAL,Normal teaching day,NEM,New Energy Materials,Supercapacitor Electrode Testing,Microscopy and Materials Imaging Lab,Simulation,Interactive Simulation,48,0,0.987,74.69,68.99,9.05,112.37,19.54,2026-01-06 15:30:00,2026-01-06 17:30:00,2026-01-06 16:54:37,2026-01-06 17:27:34,103.75,0.822,0.134,2,0.548,36.41,0.738,0.737,0.934,0.453
VSDT-00033,2026-01-07,NORMAL,Normal teaching day,ELEC,Electronics Training,AI-Assisted Circuit Testing,Electronics Training Lab,Practice,Immersive Practical Session,21,0,0.863,72.5,70.98,23.46,112.43,39.35,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 09:09:08,2026-01-07 09:49:24,99.48,0.976,0.222,5,0.419,32.59,0.222,0.462,0.957,0.371
VSDT-00034,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,IMFG,Intelligent Manufacturing,Production Line Digital Twin,Smart Manufacturing Lab,Sync,Content Synchronization,25,0,0.318,21.08,10.81,5.96,87.58,14.34,2026-01-07 13:30:00,2026-01-07 15:30:00,2026-01-07 14:18:15,2026-01-07 14:45:38,176.37,0.351,0.738,13,0.765,35.37,0.685,0.61,0.819,0.802
VSDT-00035,2026-01-07,EXAM,Exam-week priority load,ELEC,Electronics Training,Embedded Systems Practical,Electronics Training Lab,Assessment,Automated Assessment,23,1,1,60.93,47.14,14.82,85.43,18.8,2026-01-07 10:30:00,2026-01-07 11:45:00,2026-01-07 11:04:19,2026-01-07 11:34:04,104.0,0.645,0.161,6,0.439,14.51,0.296,0.665,0.95,0.553
VSDT-00036,2026-01-07,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,DFT-Assisted Materials Property Demonstration,NEM Digital Simulation Laboratory,Analytics,Background Analytics,46,0,0.323,100,5.18,21.92,54.16,42.19,2026-01-07 13:30:00,2026-01-07 15:00:00,2026-01-07 14:32:43,2026-01-07 15:00:00,220.75,0.107,0.699,16,0.796,33.94,0.292,0.626,0.944,0.717
VSDT-00037,2026-01-07,OVERLAP,Overlapping practical classes,AUTO,Automotive Technology,Battery Pack Safety Demonstration,Automotive Simulation Lab,Simulation,Interactive Simulation,37,0,0.82,66.35,73.08,19.3,64.6,16.9,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 16:22:39,2026-01-07 16:45:00,80.58,0.785,0.148,10,0.631,28.82,0.914,0.824,0.958,0.691
VSDT-00038,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Practice,Immersive Practical Session,28,0,0.792,74.99,77.53,22.3,133.21,38.86,2026-01-07 15:30:00,2026-01-07 17:15:00,2026-01-07 15:58:14,2026-01-07 16:41:48,77.92,0.85,0.23,21,0.825,30.76,0.995,0.553,0.782,0.977
VSDT-00039,2026-01-07,NET_DEG,Network degradation,AUTO,Automotive Technology,Battery Pack Safety Demonstration,EV Training Lab,Assessment,Automated Assessment,36,0,0.873,38.02,29.69,10.3,79.74,6.13,2026-01-07 08:30:00,2026-01-07 09:45:00,2026-01-07 09:03:28,2026-01-07 09:24:32,140.26,0.664,0.219,0,0.609,61.5,4.591,0.653,0.786,0.521
VSDT-00040,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,AUTO,Automotive Technology,Battery Pack Safety Demonstration,EV Training Lab,Analytics,Background Analytics,34,0,0.469,40.33,19.23,12.47,49.28,54.17,2026-01-07 13:30:00,2026-01-07 15:15:00,2026-01-07 14:35:31,2026-01-07 15:15:00,261.16,0.233,0.966,20,0.674,21.79,0.625,0.525,0.693,0.653
VSDT-00041,2026-01-07,NET_DEG,Network degradation,NEM,New Energy Materials,Electrochemical Impedance Spectroscopy for Solid-State Batteries,NEM Digital Simulation Laboratory,Simulation,Interactive Simulation,27,0,0.893,36.13,74.77,7.18,68.8,21.51,2026-01-07 08:30:00,2026-01-07 10:00:00,2026-01-07 09:07:39,2026-01-07 09:44:42,151.12,0.922,0.267,3,0.55,102.88,2.911,0.558,0.837,0.589
VSDT-00042,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,ELEC,Electronics Training,Sensor Calibration and Data Logging,Electronics Training Lab,Simulation,Interactive Simulation,25,0,0.909,63.3,66.12,13.87,44.98,25.82,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 15:48:00,2026-01-07 16:22:22,92.25,0.754,0.143,22,0.787,20.46,0.283,0.415,0.686,0.794
VSDT-00043,2026-01-07,EXAM,Exam-week priority load,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Simulation,Interactive Simulation,39,1,0.897,52.63,64.69,16.97,93.82,15.01,2026-01-07 13:30:00,2026-01-07 15:00:00,2026-01-07 14:36:44,2026-01-07 14:59:04,123.98,0.785,0.238,10,0.622,21.47,0.78,0.587,0.885,0.68
VSDT-00044,2026-01-07,NORMAL,Normal teaching day,NEM,New Energy Materials,Supercapacitor Electrode Testing,Microscopy and Materials Imaging Lab,Analytics,Background Analytics,33,0,0.38,31.77,27.08,32.16,23.41,21.4,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 15:45:25,2026-01-07 16:23:09,416.59,0.216,0.702,3,0.449,28.98,0.599,0.698,0.881,0.565
VSDT-00045,2026-01-07,NET_DEG,Network degradation,ELEC,Electronics Training,AI-Assisted Circuit Testing,Electronics Training Lab,Practice,Immersive Practical Session,27,0,0.887,55.28,78.39,23.81,139.56,24.69,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 09:08:49,2026-01-07 09:41:09,59.41,0.973,0.077,5,0.311,85.65,2.415,0.459,0.946,0.707
VSDT-00046,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,NURS,Nursing Simulation,Virtual Ward Monitoring,Clinical Skills Lab,Analytics,Background Analytics,19,0,0.221,75.49,34.3,31.61,44.85,36.9,2026-01-07 08:30:00,2026-01-07 10:30:00,2026-01-07 09:17:40,2026-01-07 10:09:16,409.04,0.266,0.815,16,0.744,36.53,0.726,0.709,0.686,0.8
VSDT-00047,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,Hydrogen Storage Materials Simulation,Microscopy and Materials Imaging Lab,Assessment,Automated Assessment,36,0,1,34.38,16.82,6.74,103.67,9.84,2026-01-07 15:30:00,2026-01-07 17:00:00,2026-01-07 16:15:23,2026-01-07 16:38:20,78.92,0.624,0.344,17,0.659,18.84,0.603,0.463,0.779,0.938
VSDT-00048,2026-01-07,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Molecular Dynamics of Solid Electrolytes,Photovoltaic Characterization Lab,Analytics,Background Analytics,36,0,0.262,77.61,12.77,42.54,50.62,52.28,2026-01-07 08:30:00,2026-01-07 10:00:00,2026-01-07 08:52:03,2026-01-07 09:40:15,399.67,0.353,0.886,18,0.704,9.0,0.766,0.875,0.928,0.506
VSDT-00049,2026-01-07,NORMAL,Normal teaching day,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Practice,Immersive Practical Session,28,0,0.846,74.03,42.54,29.77,111.69,21.3,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 09:40:47,2026-01-07 10:06:32,81.42,0.864,0.228,4,0.36,30.99,0.224,0.69,0.826,0.387
VSDT-00050,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,Molecular Dynamics of Solid Electrolytes,Microscopy and Materials Imaging Lab,Practice,Immersive Practical Session,25,0,0.972,59.14,50.41,31.26,109.78,29.98,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 09:08:22,2026-01-07 09:41:30,92.9,0.985,0.146,13,0.73,20.92,0.131,0.626,0.734,0.819
VSDT-00051,2026-01-07,EXAM,Exam-week priority load,DMED,Digital Media,Media Pipeline Synchronization,XR Media Studio,Sync,Content Synchronization,31,1,0.334,29.74,0.19,7.12,154.93,16.29,2026-01-07 15:30:00,2026-01-07 17:30:00,2026-01-07 16:38:59,2026-01-07 17:01:31,211.45,0.284,0.601,10,0.678,29.84,0.432,0.816,0.887,0.721
VSDT-00052,2026-01-07,OVERLAP,Overlapping practical classes,NURS,Nursing Simulation,Clinical Assessment Lab,Virtual Nursing Simulation Lab,Sync,Content Synchronization,34,0,0.292,36.72,8.6,3.93,165.13,15.7,2026-01-07 13:30:00,2026-01-07 15:15:00,2026-01-07 14:03:42,2026-01-07 14:31:00,195.48,0.311,0.596,10,0.64,26.83,0.254,0.543,0.826,0.842
VSDT-00053,2026-01-07,NET_DEG,Network degradation,NURS,Nursing Simulation,Virtual Ward Monitoring,Clinical Skills Lab,Sync,Content Synchronization,36,0,0.362,23.91,12.48,2.37,137.27,15.49,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 09:36:53,2026-01-07 09:56:22,234.71,0.419,0.8,2,0.426,97.46,3.4,0.647,0.762,0.674
VSDT-00054,2026-01-07,OVERLAP,Overlapping practical classes,ELEC,Electronics Training,AI-Assisted Circuit Testing,Power Electronics Lab,Practice,Immersive Practical Session,30,0,0.88,77.17,86.71,23.66,144.29,35.99,2026-01-07 08:30:00,2026-01-07 10:30:00,2026-01-07 09:30:50,2026-01-07 10:11:22,75.03,0.838,0.085,15,0.68,28.61,0.546,0.711,0.981,0.607
VSDT-00055,2026-01-07,OVERLAP,Overlapping practical classes,IMFG,Intelligent Manufacturing,CNC Virtual Workshop,CNC Simulation Lab,Simulation,Interactive Simulation,35,0,0.714,41.79,52.12,19.66,65.91,13.52,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 16:00:52,2026-01-07 16:25:32,89.25,0.723,0.212,14,0.555,40.01,0.304,0.919,0.87,0.655
VSDT-00056,2026-01-07,EXAM,Exam-week priority load,IMFG,Intelligent Manufacturing,Robot Cell Control,Smart Manufacturing Lab,Assessment,Automated Assessment,25,1,1,72.0,39.3,4.89,70.44,11.77,2026-01-07 08:30:00,2026-01-07 10:00:00,2026-01-07 09:02:26,2026-01-07 09:24:42,92.52,0.728,0.258,7,0.385,11.53,0.636,0.781,0.923,0.838
VSDT-00057,2026-01-07,NORMAL,Normal teaching day,AUTO,Automotive Technology,Sensor Calibration Lab,EV Training Lab,Assessment,Automated Assessment,34,0,0.867,58.77,61.85,14.93,75.49,20.5,2026-01-07 10:30:00,2026-01-07 12:00:00,2026-01-07 11:30:59,2026-01-07 12:00:00,79.49,0.861,0.218,4,0.451,40.41,0.098,0.401,0.913,0.741
VSDT-00058,2026-01-07,NORMAL,Normal teaching day,NEM,New Energy Materials,High-Resolution Microscopy Stream Analysis,NEM Digital Simulation Laboratory,Simulation,Interactive Simulation,27,0,0.854,61.73,54.23,9.2,107.45,23.04,2026-01-07 08:30:00,2026-01-07 10:15:00,2026-01-07 08:43:55,2026-01-07 09:11:48,96.14,0.888,0.335,1,0.434,33.94,0.444,0.764,0.942,0.402
VSDT-00059,2026-01-07,NORMAL,Normal teaching day,DMED,Digital Media,3D Rendering Lab,XR Media Studio,Assessment,Automated Assessment,25,1,0.903,39.79,60.52,8.53,70.19,12.51,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 15:32:51,2026-01-07 15:56:22,82.04,0.907,0.384,6,0.336,8.44,0.223,0.721,0.902,0.703
VSDT-00060,2026-01-07,OVERLAP,Overlapping practical classes,NEM,New Energy Materials,Molecular Dynamics of Solid Electrolytes,NEM Digital Simulation Laboratory,Practice,Immersive Practical Session,49,0,0.89,100,66.36,40.66,86.41,50.45,2026-01-07 15:30:00,2026-01-07 17:15:00,2026-01-07 16:17:54,2026-01-07 17:15:00,79.82,0.956,0.104,11,0.783,23.51,0.397,0.805,0.953,0.708
VSDT-00061,2026-01-07,NORMAL,Normal teaching day,AUTO,Automotive Technology,Automotive Fault Diagnosis,Automotive Simulation Lab,Sync,Content Synchronization,30,0,0.577,31.46,11.28,6.75,137.3,15.7,2026-01-07 15:30:00,2026-01-07 16:45:00,2026-01-07 15:32:01,2026-01-07 16:01:12,256.58,0.332,0.796,6,0.425,8.6,0.759,0.699,0.884,0.428
VSDT-00062,2026-01-07,NET_DEG,Network degradation,ELEC,Electronics Training,Control Systems Simulation,Electronics Training Lab,Sync,Content Synchronization,19,0,0.434,19.02,7.82,5.9,105.03,6.07,2026-01-07 08:30:00,2026-01-07 10:30:00,2026-01-07 08:36:00,2026-01-07 08:51:05,194.87,0.445,0.73,0,0.534,75.11,3.855,0.475,0.826,0.555
VSDT-00063,2026-01-07,EDGE_STRESS,Edge-node congestion or partial failure,AUTO,Automotive Technology,Sensor Calibration Lab,Automotive Simulation Lab,Practice,Immersive Practical Session,24,0,0.816,59.48,42.45,28.21,155.88,23.4,2026-01-07 08:30:00,2026-01-07 10:00:00,2026-01-07 08:36:27,2026-01-07 09:14:08,81.06,0.866,0.223,10,0.738,27.64,0.555,0.553,0.773,0.8
VSDT-00064,2026-01-07,EXAM,Exam-week priority load,NURS,Nursing Simulation,Medication Safety Training,Virtual Nursing Simulation Lab,Assessment,Automated Assessment,39,1,0.879,50.25,17.9,11.16,36.04,23.89,2026-01-07 15:30:00,2026-01-07 17:15:00,2026-01-07 15:44:18,2026-01-07 16:10:08,118.25,0.636,0.192,8,0.38,39.7,0.402,0.857,0.861,0.771
VSDT-00065,2026-01-08,EXAM,Exam-week priority load,NEM,New Energy Materials,Photovoltaic Thin-Film Characterization,Microscopy and Materials Imaging Lab,Assessment,Automated Assessment,43,1,1,78.26,65.78,16.65,107.65,19.85,2026-01-08 10:30:00,2026-01-08 12:00:00,2026-01-08 11:22:40,2026-01-08 11:54:56,104.45,0.804,0.395,6,0.444,27.33,0.187,0.678,0.987,0.576
VSDT-00066,2026-01-08,EDGE_STRESS,Edge-node congestion or partial failure,NEM,New Energy Materials,AI-Based Microstructure Analysis of Perovskite Solar Cells,NEM Digital Simulation Laboratory,Simulation,Interactive Simulation,23,0,0.801,34.16,73.12,10.39,113.65,15.5,2026-01-08 08:30:00,2026-01-08 09:45:00,2026-01-08 08:51:37,2026-01-08 09:17:21,101.72,0.973,0.222,10,0.79,23.93,0.833,0.432,0.725,0.872
