TaskID,UrgencyScore,FairnessCorrection,CongestionRisk,VEPS_PriorityScore,AssignedResourceLayer,AssignedResourceID,PlacementUtility
VSDT-00031,0.6738,0.1429,0.3513,0.4077,Local Edge,EDGE-04,0.508
VSDT-00032,0.0684,-0.55,0.3067,0.3823,Local Edge,EDGE-02,0.5646
VSDT-00033,0.3884,0.4,0.2607,0.5182,Local Edge,EDGE-06,0.6889
VSDT-00034,0.6183,-0.2,0.4758,0.2847,Local Edge,EDGE-02,0.413
VSDT-00035,0.2684,0.4194,0.255,0.5908,Local Edge,EDGE-05,0.6787
VSDT-00036,0,-0.55,0.5044,0.0622,Cloud,CLOUD-13,0.3154
VSDT-00037,0,0.25,0.3906,0.339,Local Edge,EDGE-06,0.5545
VSDT-00038,0.4324,0.0909,0.5545,0.4411,Local Edge,EDGE-05,0.5175
VSDT-00039,0.4927,0.1176,0.389,0.4512,Local Edge,EDGE-03,0.5388
VSDT-00040,0,-0.0286,0.4666,0.1218,Cloud,CLOUD-12,0.3163
VSDT-00041,0.2921,-0.5429,0.4174,0.4376,Local Edge,EDGE-03,0.5558
VSDT-00042,0.3968,0.3333,0.525,0.4637,Peer Edge,EDGE-09,0.528
VSDT-00043,0.0398,0.027,0.3763,0.4856,Local Edge,EDGE-02,0.5779
VSDT-00044,0.3666,-0.55,0.2595,0.2139,Peer Edge,EDGE-09,0.4287
VSDT-00045,0.5114,0.2308,0.3,0.538,Local Edge,EDGE-03,0.6686
VSDT-00046,0.2864,0.55,0.489,0.2077,Peer Edge,EDGE-09,0.4017
VSDT-00047,0.4854,-0.55,0.4356,0.4546,Local Edge,EDGE-03,0.512
VSDT-00048,0.2905,-0.55,0.4518,0.1825,Peer Edge,EDGE-10,0.3993
VSDT-00049,0.2473,0.1429,0.2259,0.4289,Local Edge,EDGE-01,0.5999
VSDT-00050,0.5026,-0.55,0.4372,0.5253,Local Edge,EDGE-04,0.5737
VSDT-00051,0.5582,0.0455,0.4077,0.4067,Local Edge,EDGE-06,0.4831
VSDT-00052,0.617,0.4667,0.3855,0.3227,Local Edge,EDGE-04,0.4905
VSDT-00053,0.4884,0.3478,0.3543,0.3137,Local Edge,EDGE-04,0.4835
VSDT-00054,0.3148,0.234,0.4425,0.4462,Local Edge,EDGE-05,0.5928
VSDT-00055,0.4409,0.125,0.3921,0.4141,Local Edge,EDGE-06,0.5469
VSDT-00056,0.6131,0.0204,0.2379,0.665,Local Edge,EDGE-05,0.6759
VSDT-00057,0,0.16,0.2762,0.3624,Local Edge,EDGE-04,0.5806
VSDT-00058,0.6938,-0.5294,0.2437,0.5451,Local Edge,EDGE-04,0.6496
VSDT-00059,0.674,0.0769,0.2015,0.7044,Local Edge,EDGE-06,0.7222
VSDT-00060,0,-0.55,0.4527,0.3598,Local Edge,EDGE-06,0.5434
VSDT-00061,0.5999,0.1111,0.2462,0.3577,Local Edge,EDGE-05,0.5118
VSDT-00062,0.8676,0.2364,0.3653,0.4291,Local Edge,EDGE-01,0.5284
VSDT-00063,0.549,0.0357,0.4326,0.484,Local Edge,EDGE-04,0.5554
VSDT-00064,0.7151,0.3684,0.2746,0.6812,Local Edge,EDGE-02,0.6866
VSDT-00065,0.1357,-0.55,0.2718,0.5425,Local Edge,EDGE-05,0.6405
VSDT-00066,0.5178,-0.55,0.4537,0.4886,Local Edge,EDGE-03,0.5531
VSDT-00067,0.0714,0.3,0.3881,0.3601,Peer Edge,EDGE-07,0.5599
VSDT-00068,0.2706,0.1148,0.36,0.4048,Local Edge,EDGE-04,0.552
VSDT-00069,0.0907,0.129,0.3232,0.3711,Local Edge,EDGE-05,0.5437
VSDT-00070,0.112,0.0476,0.2341,0.3937,Local Edge,EDGE-04,0.5843
VSDT-00071,0.4656,0.25,0.4814,0.4471,Local Edge,EDGE-03,0.5276
VSDT-00072,0.4083,-0.55,0.4182,0.4368,Peer Edge,EDGE-08,0.5473
VSDT-00073,0.7983,-0.55,0.3383,0.4111,Peer Edge,EDGE-11,0.5092
VSDT-00074,0.1374,0.1045,0.3285,0.1526,Cloud,CLOUD-13,0.4023
VSDT-00075,0.3347,-0.55,0.3143,0.5889,Local Edge,EDGE-05,0.6223
VSDT-00076,0.825,0.2174,0.2028,0.37,Peer Edge,EDGE-08,0.5297
VSDT-00077,0.4181,0.0571,0.4915,0.6222,Local Edge,EDGE-06,0.5934
VSDT-00078,0.6813,0.0704,0.2046,0.7072,Local Edge,EDGE-03,0.7223
VSDT-00079,0.2954,0.0,0.3113,0.1909,Cloud,CLOUD-12,0.4147
VSDT-00080,0.2014,0.3333,0.3635,0.5535,Peer Edge,EDGE-07,0.6301
VSDT-00081,0.7592,0.1781,0.1714,0.3953,Local Edge,EDGE-05,0.5552
VSDT-00082,0.3398,-0.55,0.3101,0.4601,Local Edge,EDGE-05,0.6125
VSDT-00083,0.3341,0.28,0.2327,0.4508,Local Edge,EDGE-04,0.6264
VSDT-00084,0,-0.55,0.4688,0.1437,Cloud,CLOUD-13,0.3771
VSDT-00085,0.4592,0.1316,0.3589,0.6056,Peer Edge,EDGE-08,0.6178
VSDT-00086,0.412,-0.55,0.4789,0.5066,Local Edge,EDGE-05,0.5886
VSDT-00087,0,-0.55,0.389,0.1134,Cloud,CLOUD-12,0.3618
VSDT-00088,0.7029,-0.55,0.4121,0.5867,Local Edge,EDGE-01,0.6248
VSDT-00089,0,0.2405,0.5689,0.3468,Peer Edge,EDGE-09,0.5058
VSDT-00090,0,0.0886,0.5032,0.3752,Local Edge,EDGE-02,0.515
VSDT-00091,0.6983,-0.55,0.5876,0.6993,Peer Edge,EDGE-09,0.6201
VSDT-00092,0.4908,0.1111,0.1998,0.4997,Local Edge,EDGE-04,0.656
VSDT-00093,0.5211,-0.55,0.5571,0.4689,Peer Edge,EDGE-07,0.4924
VSDT-00094,0,0.2683,0.5065,0.0921,Cloud,CLOUD-14,0.3179
VSDT-00095,0.6158,-0.55,0.3526,0.3708,Local Edge,EDGE-01,0.4915
VSDT-00096,0.5965,0.2771,0.289,0.5263,Local Edge,EDGE-01,0.631
VSDT-00097,0.162,0.0714,0.4665,0.116,Cloud,CLOUD-12,0.3614
VSDT-00098,0,0.0118,0.4594,0.1106,Cloud,CLOUD-12,0.3278
VSDT-00099,0.1342,-0.55,0.2665,0.3089,Peer Edge,EDGE-11,0.4641
VSDT-00100,0.6375,0.2941,0.3941,0.4967,Peer Edge,EDGE-10,0.5732
VSDT-00101,0.6381,0.093,0.4694,0.5141,Local Edge,EDGE-03,0.5688
VSDT-00102,0,0.2414,0.3836,0.3872,Local Edge,EDGE-01,0.5706
VSDT-00103,0,-0.55,0.5144,0.3112,Peer Edge,EDGE-10,0.4313
VSDT-00104,0.6755,0.0455,0.3276,0.337,Local Edge,EDGE-01,0.4981
VSDT-00105,0.693,-0.55,0.4106,0.7018,Local Edge,EDGE-03,0.6733
VSDT-00106,0.7671,0.2667,0.4878,0.3789,Local Edge,EDGE-06,0.4687
VSDT-00107,0.1313,0.2088,0.3718,0.4224,Local Edge,EDGE-05,0.5708
VSDT-00108,0.5042,0.087,0.3771,0.4722,Local Edge,EDGE-02,0.5692
VSDT-00109,0.7485,0.2903,0.3622,0.5631,Local Edge,EDGE-01,0.6399
VSDT-00110,0.3189,-0.55,0.4091,0.6009,Local Edge,EDGE-05,0.6126
VSDT-00111,0.6001,0.1702,0.5048,0.3073,Peer Edge,EDGE-10,0.4094
VSDT-00112,0,0.2421,0.3961,0.3263,Local Edge,EDGE-05,0.5368
VSDT-00113,0.5326,-0.55,0.4596,0.5285,Local Edge,EDGE-05,0.5848
VSDT-00114,0.2986,-0.55,0.3136,0.4571,Local Edge,EDGE-05,0.5799
VSDT-00115,0.6513,0.1429,0.2867,0.6699,Peer Edge,EDGE-09,0.6741
VSDT-00116,0.3697,0.0909,0.3554,0.5845,Local Edge,EDGE-02,0.6293
VSDT-00117,0.0494,0.04,0.6025,0.2982,Peer Edge,EDGE-10,0.4276
VSDT-00118,0.6331,-0.0099,0.3041,0.4502,Local Edge,EDGE-01,0.5572
VSDT-00119,0.8938,0.2941,0.4439,0.747,Local Edge,EDGE-06,0.6817
VSDT-00120,0.8303,-0.0485,0.5471,0.5741,Local Edge,EDGE-04,0.5696
VSDT-00121,0.4747,-0.0962,0.2999,0.4761,Local Edge,EDGE-03,0.5893
VSDT-00122,0.622,0.2571,0.3055,0.6833,Local Edge,EDGE-02,0.6942
VSDT-00123,0.7248,-0.55,0.5064,0.536,Peer Edge,EDGE-07,0.5442
VSDT-00124,0.1376,-0.55,0.4529,0.5297,Local Edge,EDGE-01,0.6007
VSDT-00125,0.006,-0.55,0.5213,0.1696,Peer Edge,EDGE-10,0.3829
VSDT-00126,0,-0.1009,0.3591,0.1579,Cloud,CLOUD-14,0.3959
VSDT-00127,0.8308,0.1743,0.4563,0.7135,Peer Edge,EDGE-11,0.6487
VSDT-00128,0,-0.55,0.3334,0.3816,Peer Edge,EDGE-10,0.5497
VSDT-00129,0.5395,-0.55,0.4173,0.4921,Local Edge,EDGE-04,0.5772
VSDT-00130,0.314,-0.55,0.323,0.4733,Local Edge,EDGE-02,0.617
VSDT-00131,0.4938,-0.55,0.3423,0.2742,Peer Edge,EDGE-10,0.468
VSDT-00132,0.7164,0.1579,0.35,0.5712,Local Edge,EDGE-04,0.6295
VSDT-00133,0.7021,-0.0435,0.4241,0.6973,Local Edge,EDGE-02,0.6596
VSDT-00134,0,-0.55,0.3786,0.2997,Local Edge,EDGE-02,0.4989
VSDT-00135,0.6575,0.2308,0.3393,0.7002,Local Edge,EDGE-01,0.6781
VSDT-00136,0,0.1356,0.4384,0.3374,Local Edge,EDGE-01,0.5074
VSDT-00137,0.6108,-0.0678,0.3097,0.3192,Local Edge,EDGE-02,0.4886
VSDT-00138,0.5363,0.2941,0.3988,0.6725,Local Edge,EDGE-05,0.6829
VSDT-00139,0.5215,-0.55,0.2837,0.518,Local Edge,EDGE-03,0.6263
VSDT-00140,0,0.2562,0.497,0.3565,Local Edge,EDGE-01,0.5401
VSDT-00141,0.5252,-0.55,0.3547,0.6474,Local Edge,EDGE-06,0.6619
VSDT-00142,0.646,0.3659,0.2893,0.5597,Local Edge,EDGE-02,0.661
VSDT-00143,0,0.2258,0.481,0.3826,Local Edge,EDGE-04,0.5532
VSDT-00144,0.3062,0.2258,0.4507,0.2,Cloud,CLOUD-14,0.3945
VSDT-00145,0,0.328,0.4622,0.3419,Local Edge,EDGE-02,0.5296
VSDT-00146,0.6341,-0.0476,0.4438,0.651,Local Edge,EDGE-03,0.6414
VSDT-00147,0.7389,-0.0866,0.3396,0.3989,Local Edge,EDGE-03,0.4987
VSDT-00148,0,0.2969,0.4303,0.5214,Local Edge,EDGE-02,0.6187
VSDT-00149,0.602,0.2093,0.2221,0.5659,Local Edge,EDGE-01,0.6746
VSDT-00150,0,0.1692,0.3499,0.1901,Cloud,CLOUD-14,0.4553
VSDT-00151,0.2125,-0.0992,0.4684,0.4084,Local Edge,EDGE-05,0.5392
VSDT-00152,0.5471,-0.55,0.1984,0.4613,Local Edge,EDGE-05,0.6019
VSDT-00153,0.7705,0.2782,0.3972,0.55,Local Edge,EDGE-01,0.6367
VSDT-00154,0.6733,-0.1194,0.3083,0.6756,Local Edge,EDGE-05,0.6651
VSDT-00155,0.5925,0.2889,0.3563,0.69,Local Edge,EDGE-01,0.6978
VSDT-00156,0.8347,-0.55,0.4213,0.4489,Local Edge,EDGE-01,0.4892
VSDT-00157,0.7401,-0.1387,0.3833,0.3519,Peer Edge,EDGE-10,0.4653
VSDT-00158,0.7998,0.2609,0.3491,0.5638,Local Edge,EDGE-02,0.6424
VSDT-00159,0.3492,-0.55,0.3542,0.4965,Local Edge,EDGE-01,0.6257
VSDT-00160,0,0.2286,0.4724,0.4717,Local Edge,EDGE-02,0.5734
VSDT-00161,0.5219,0.2714,0.4273,0.5461,Local Edge,EDGE-05,0.643
VSDT-00162,0.6329,0.234,0.4468,0.5411,Local Edge,EDGE-06,0.6164
VSDT-00163,0,-0.55,0.3123,0.3675,Local Edge,EDGE-05,0.5762
VSDT-00164,0.2068,0.2867,0.4778,0.1591,Cloud,CLOUD-13,0.3869
VSDT-00165,0.4868,-0.55,0.3684,0.5246,Local Edge,EDGE-05,0.5974
VSDT-00166,0.7406,0.2552,0.2366,0.4277,Local Edge,EDGE-04,0.5781
VSDT-00167,0.5041,0.2603,0.2452,0.5404,Local Edge,EDGE-03,0.6769
VSDT-00168,0.7391,-0.55,0.2957,0.564,Local Edge,EDGE-05,0.6013
VSDT-00169,0.4951,0.2245,0.3031,0.3177,Peer Edge,EDGE-11,0.4861
VSDT-00170,0.728,0.2297,0.5281,0.5441,Peer Edge,EDGE-10,0.5393
VSDT-00171,0.6885,0.2703,0.3674,0.5656,Local Edge,EDGE-03,0.6522
VSDT-00172,0.0707,0.1946,0.312,0.404,Local Edge,EDGE-05,0.6058
VSDT-00173,0,-0.55,0.4168,0.3571,Local Edge,EDGE-03,0.5303
VSDT-00174,0.6908,-0.55,0.4794,0.5705,Local Edge,EDGE-01,0.5938
VSDT-00175,0.248,0.245,0.3884,0.3596,Cloud,CLOUD-12,0.5001
VSDT-00176,0.4217,0.245,0.3799,0.4535,Cloud,CLOUD-12,0.5282
VSDT-00177,0.3375,-0.0658,0.349,0.4261,Cloud,CLOUD-13,0.5198
VSDT-00178,0.2836,-0.55,0.3829,0.5514,Local Edge,EDGE-03,0.6027
VSDT-00179,0,-0.55,0.4194,0.3706,Local Edge,EDGE-03,0.5175
VSDT-00180,0.7811,0.2597,0.2887,0.381,Local Edge,EDGE-05,0.5231
VSDT-00181,0.4341,-0.55,0.3678,0.4782,Local Edge,EDGE-05,0.5999
VSDT-00182,0.4233,-0.55,0.3202,0.6085,Local Edge,EDGE-01,0.6343
VSDT-00183,0.7401,-0.55,0.3312,0.585,Local Edge,EDGE-02,0.6517
VSDT-00184,0,0.2025,0.2964,0.1477,Cloud,CLOUD-12,0.416
VSDT-00185,0,0.2785,0.4269,0.1085,Cloud,CLOUD-14,0.3776
VSDT-00186,0.5138,0.2025,0.3518,0.3367,Local Edge,EDGE-05,0.5092
VSDT-00187,0.5475,0.2453,0.3646,0.2918,Local Edge,EDGE-01,0.4741
VSDT-00188,0.6565,-0.55,0.3694,0.6929,Local Edge,EDGE-03,0.6784
VSDT-00189,0,0.2174,0.2596,0.3675,Local Edge,EDGE-05,0.5787
VSDT-00190,0,0.1801,0.5129,0.3286,Peer Edge,EDGE-08,0.4672
VSDT-00191,0.0377,-0.55,0.3987,0.371,Local Edge,EDGE-04,0.536
VSDT-00192,0.5196,0.227,0.4505,0.5007,Peer Edge,EDGE-08,0.5399
VSDT-00193,0.6308,-0.55,0.3729,0.442,Local Edge,EDGE-05,0.5003
VSDT-00194,0.5813,0.1636,0.3868,0.5208,Local Edge,EDGE-04,0.6024
VSDT-00195,0.6152,0.3133,0.3914,0.5691,Local Edge,EDGE-01,0.6567
VSDT-00196,0,0.2814,0.3547,0.1465,Cloud,CLOUD-14,0.4149
VSDT-00197,0,-0.55,0.3744,0.3739,Local Edge,EDGE-03,0.5499
VSDT-00198,0,0.0,0.2467,0.1293,Peer Edge,EDGE-11,0.41
VSDT-00199,0.7839,-0.55,0.4986,0.5357,Local Edge,EDGE-01,0.5473
VSDT-00200,0.3443,-0.55,0.1712,0.4903,Local Edge,EDGE-01,0.6365
VSDT-00201,0,0.2982,0.4353,0.1687,Cloud,CLOUD-14,0.4076
VSDT-00202,0.0489,0.2281,0.4746,0.0988,Cloud,CLOUD-12,0.3208
VSDT-00203,0.3966,-0.55,0.4118,0.4895,Local Edge,EDGE-03,0.5878
VSDT-00204,0.5418,0.3064,0.3745,0.5231,Local Edge,EDGE-02,0.6419
VSDT-00205,0.3528,-0.55,0.2558,0.2031,Cloud,CLOUD-13,0.4124
VSDT-00206,0.0682,0.0057,0.4899,0.3637,Local Edge,EDGE-04,0.5178
VSDT-00207,0,0.1818,0.5979,0.3333,Peer Edge,EDGE-09,0.4542
VSDT-00208,0.3165,-0.55,0.4017,0.5569,Local Edge,EDGE-01,0.5939
VSDT-00209,0.6333,0.2881,0.4863,0.5019,Local Edge,EDGE-01,0.5832
VSDT-00210,0.8676,-0.55,0.4332,0.7635,Local Edge,EDGE-02,0.6906
VSDT-00211,0,-0.55,0.4722,0.3107,Peer Edge,EDGE-09,0.4567
VSDT-00212,0.6624,0.2667,0.3129,0.7048,Cloud,CLOUD-14,0.7147
VSDT-00213,0.4758,0.3039,0.5166,0.4484,Peer Edge,EDGE-07,0.515
VSDT-00214,0.7494,0.2088,0.3626,0.7455,Local Edge,EDGE-06,0.7007
VSDT-00215,0.5516,0.2459,0.4233,0.5385,Local Edge,EDGE-01,0.6401
VSDT-00216,0.6594,0.1848,0.1978,0.5739,Local Edge,EDGE-05,0.6714
VSDT-00217,0.6518,0.2541,0.5931,0.4947,Peer Edge,EDGE-07,0.5492
VSDT-00218,0.5624,0.2258,0.5374,0.5216,Peer Edge,EDGE-10,0.5652
VSDT-00219,0.7112,0.0374,0.4315,0.5377,Local Edge,EDGE-01,0.5717
VSDT-00220,0.3515,-0.55,0.4182,0.4393,Peer Edge,EDGE-08,0.4986
VSDT-00221,0.6224,0.3016,0.581,0.5797,Peer Edge,EDGE-10,0.5873
VSDT-00222,0,-0.55,0.3762,0.3752,Local Edge,EDGE-01,0.5256
VSDT-00223,0,0.2737,0.3988,0.4761,Local Edge,EDGE-03,0.5951
VSDT-00224,0.4046,-0.55,0.2347,0.3817,Cloud,CLOUD-13,0.5108
VSDT-00225,0.3895,0.0211,0.3492,0.5928,Local Edge,EDGE-06,0.6359
VSDT-00226,0,-0.55,0.3318,0.3049,Peer Edge,EDGE-08,0.4517
VSDT-00227,0.4737,-0.55,0.4283,0.4596,Peer Edge,EDGE-09,0.5213
VSDT-00228,0.7562,0.2188,0.2606,0.5911,Local Edge,EDGE-03,0.6898
VSDT-00229,0.696,0.2539,0.3582,0.7101,Local Edge,EDGE-05,0.7142
VSDT-00230,0,0.1959,0.6214,0.3585,Peer Edge,EDGE-11,0.4709
VSDT-00231,0.5936,0.1959,0.443,0.5192,Local Edge,EDGE-03,0.6058
VSDT-00232,0.7382,0.1692,0.3629,0.4945,Peer Edge,EDGE-08,0.5572
VSDT-00233,0.8445,-0.55,0.2973,0.7102,Peer Edge,EDGE-11,0.6715
VSDT-00234,0.6384,-0.55,0.4879,0.5289,Local Edge,EDGE-05,0.5848
VSDT-00235,0.3751,0.0303,0.4119,0.3874,Local Edge,EDGE-01,0.5364
VSDT-00236,0.5461,-0.55,0.312,0.6822,Local Edge,EDGE-05,0.6804
VSDT-00237,0,0.22,0.3604,0.1141,Cloud,CLOUD-14,0.3986
VSDT-00238,0.7829,-0.55,0.3195,0.717,Local Edge,EDGE-01,0.6818
VSDT-00239,0.6396,0.3134,0.2972,0.5242,Peer Edge,EDGE-08,0.6333
VSDT-00240,0.3901,0.2277,0.3109,0.6301,Local Edge,EDGE-06,0.6849
VSDT-00241,0.5288,-0.55,0.3658,0.5337,Peer Edge,EDGE-07,0.5636
VSDT-00242,0,0.0294,0.2137,0.3528,Local Edge,EDGE-04,0.5875
VSDT-00243,0.5884,-0.55,0.5572,0.5226,Local Edge,EDGE-05,0.5448
VSDT-00244,0.1812,0.2098,0.3355,0.1336,Peer Edge,EDGE-09,0.3858
VSDT-00245,0,-0.55,0.3233,0.3822,Local Edge,EDGE-05,0.5558
VSDT-00246,0.4851,-0.55,0.4092,0.5022,Local Edge,EDGE-06,0.5698
VSDT-00247,0,0.2754,0.3621,0.5149,Local Edge,EDGE-01,0.6158
VSDT-00248,0.5016,0.1884,0.5081,0.4981,Local Edge,EDGE-03,0.5749
VSDT-00249,0.3941,0.1635,0.3704,0.4602,Local Edge,EDGE-03,0.5905
VSDT-00250,0.4032,-0.55,0.4628,0.4752,Local Edge,EDGE-01,0.5719
VSDT-00251,0.345,0.2857,0.3301,0.2791,Cloud,CLOUD-12,0.4745
VSDT-00252,0.0662,-0.55,0.3766,0.0909,Cloud,CLOUD-12,0.3508
VSDT-00253,0.2695,-0.55,0.4218,0.4287,Local Edge,EDGE-05,0.5554
VSDT-00254,0.3432,0.3239,0.3934,0.4783,Local Edge,EDGE-05,0.6324
VSDT-00255,0.6906,-0.55,0.2171,0.5147,Local Edge,EDGE-05,0.6386
VSDT-00256,0.3195,-0.55,0.4735,0.4437,Local Edge,EDGE-04,0.5364
VSDT-00257,0.4062,0.1667,0.3847,0.6078,Local Edge,EDGE-06,0.6725
VSDT-00258,0.8079,0.3088,0.267,0.5865,Local Edge,EDGE-01,0.671
VSDT-00259,0.4163,-0.55,0.4442,0.6013,Local Edge,EDGE-04,0.604
VSDT-00260,0.5831,0.0959,0.3975,0.6812,Local Edge,EDGE-01,0.6703
VSDT-00261,0,-0.55,0.4547,0.3917,Local Edge,EDGE-01,0.5605
VSDT-00262,0.1524,-0.55,0.3503,0.4242,Local Edge,EDGE-04,0.5825
VSDT-00263,0,0.2941,0.5093,0.1898,Cloud,CLOUD-14,0.4362
VSDT-00264,0.6198,0.0769,0.4564,0.5058,Local Edge,EDGE-06,0.5756
VSDT-00265,0.4169,-0.55,0.4117,0.4606,Local Edge,EDGE-05,0.5259
VSDT-00266,0.7502,-0.55,0.2716,0.4572,Cloud,CLOUD-14,0.531
VSDT-00267,0.2581,0.25,0.3197,0.4182,Peer Edge,EDGE-08,0.5931
VSDT-00268,0.277,-0.55,0.4361,0.4423,Peer Edge,EDGE-07,0.5441
VSDT-00269,0.8252,-0.55,0.2935,0.7236,Local Edge,EDGE-06,0.6894
VSDT-00270,0.3562,0.0749,0.3811,0.4297,Peer Edge,EDGE-09,0.5929
VSDT-00271,0.6595,-0.55,0.2443,0.3518,Peer Edge,EDGE-08,0.5017
VSDT-00272,0.5658,-0.55,0.4086,0.533,Local Edge,EDGE-05,0.5974
VSDT-00273,0.7428,0.0609,0.4219,0.6878,Cloud,CLOUD-13,0.659
VSDT-00274,0.4542,0.3247,0.2965,0.4859,Local Edge,EDGE-02,0.6194
VSDT-00275,0,0.3017,0.4837,0.3934,Local Edge,EDGE-03,0.5748
VSDT-00276,0.2527,0.1983,0.2976,0.6025,Local Edge,EDGE-05,0.6848
VSDT-00277,0.3812,0.3305,0.4511,0.4808,Local Edge,EDGE-04,0.6112
VSDT-00278,0.8047,-0.55,0.4158,0.7226,Local Edge,EDGE-04,0.6601
VSDT-00279,0.4342,0.0553,0.2672,0.4213,Local Edge,EDGE-03,0.5733
VSDT-00280,0.4335,0.1864,0.4022,0.515,Peer Edge,EDGE-07,0.5773
VSDT-00281,0.6869,0.3165,0.4709,0.3246,Peer Edge,EDGE-10,0.4494
VSDT-00282,0.4965,0.3193,0.3495,0.5582,Local Edge,EDGE-01,0.6634
VSDT-00283,0.6262,-0.55,0.2607,0.5147,Local Edge,EDGE-02,0.6155
VSDT-00284,0.2544,-0.55,0.2095,0.3736,Local Edge,EDGE-04,0.5476
VSDT-00285,0.2939,-0.55,0.3615,0.1999,Peer Edge,EDGE-11,0.4114
VSDT-00286,0.6729,0.1818,0.3271,0.5066,Peer Edge,EDGE-11,0.5912
VSDT-00287,0.4136,0.284,0.3697,0.4499,Local Edge,EDGE-03,0.5795
VSDT-00288,0.8063,0.3115,0.3802,0.7753,Local Edge,EDGE-04,0.7193
VSDT-00289,0.5658,-0.55,0.3861,0.4414,Local Edge,EDGE-03,0.5238
VSDT-00290,0.4394,0.1707,0.4299,0.4707,Local Edge,EDGE-06,0.5977
VSDT-00291,0,0.1498,0.2323,0.3126,Cloud,CLOUD-14,0.4987
VSDT-00292,0.5505,0.2742,0.4002,0.5162,Local Edge,EDGE-03,0.6133
VSDT-00293,0,-0.55,0.5999,0.1569,Cloud,CLOUD-12,0.3321
VSDT-00294,0.5502,-0.55,0.3037,0.5329,Local Edge,EDGE-04,0.6257
VSDT-00295,0.4817,-0.55,0.4673,0.2713,Cloud,CLOUD-14,0.3749
VSDT-00296,0.4118,-0.55,0.3112,0.2568,Cloud,CLOUD-12,0.4362
VSDT-00297,0.6388,0.3095,0.1659,0.5307,Local Edge,EDGE-03,0.6725
VSDT-00298,0.3085,0.336,0.2642,0.4759,Local Edge,EDGE-03,0.666
VSDT-00299,0.5039,0.1024,0.5652,0.6242,Peer Edge,EDGE-09,0.5719
VSDT-00300,0.5709,0.1529,0.3808,0.6673,Peer Edge,EDGE-09,0.6614
VSDT-00301,0.6176,-0.55,0.4121,0.4795,Local Edge,EDGE-06,0.5613
VSDT-00302,0,-0.55,0.3272,0.0718,Cloud,CLOUD-13,0.3555
VSDT-00303,0.4465,0.0895,0.2868,0.5203,Local Edge,EDGE-04,0.6394
VSDT-00304,0,-0.55,0.2317,0.5209,Local Edge,EDGE-05,0.6461
VSDT-00305,0.2078,-0.55,0.3724,0.1879,Cloud,CLOUD-12,0.3942
VSDT-00306,0,0.305,0.4385,0.1897,Cloud,CLOUD-13,0.3954
